Code	N°	English Name	Nom français	Alias	Age	Date	In langtags	Region	Lang	Notes	WSTech	NLCI	Microsoft	Other	Noto Sans	Noto Serif	WSTech
Hans	501	Han (Simplified variant)	idéogrammes han (variante simplifiée)		1.1	5/29/2004	y								Noto Sans CJK SC	Noto Serif CJK SC	
Hant	502	Han (Traditional variant)	idéogrammes han (variante traditionnelle)		1.1	5/29/2004	y								Noto Sans CJK TC	Noto Serif CJK TC	
Hatr	127	Hatran	hatrénien	Hatran	8	7/7/2015	y								NotoSansHatran		
Hebr	125	Hebrew	hébreu	Hebrew	1.1	5/1/2004	y				Ezra SIL				NotoSansHebrew	NotoSerifHebrew	
Hira	410	Hiragana	hiragana	Hiragana	1.1	5/1/2004									Noto Sans CJK JP	Noto Serif CJK JP	
Hluw	80	Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)	hiéroglyphes anatoliens (hiéroglyphes louvites, hiéroglyphes hittites)	Anatolian_Hieroglyphs	8	7/7/2015	y								NotoSansAnatolianHieroglyphs		
Hmng	450	Pahawh Hmong	pahawh hmong	Pahawh_Hmong	7	11/15/2014	y								NotoSansPahawhHmong		
Hmnp	451	Nyiakeng Puachue Hmong	nyiakeng puachue hmong	Nyiakeng_Puachue_Hmong	12	7/26/2017											
Hrkt	412	Japanese syllabaries (alias for Hiragana + Katakana)	syllabaires japonais (alias pour hiragana + katakana)	Katakana_Or_Hiragana	1.1	6/21/2011									Noto Sans CJK JP	Noto Serif CJK JP	
Hung	176	Old Hungarian (Hungarian Runic)	runes hongroises (ancien hongrois)	Old_Hungarian	8	7/7/2015	y								NotoSansOldHungarian		
Inds	610	Indus (Harappan)	indus			5/1/2004											
Ital	210	Old Italic (Etruscan, Oscan, etc.)	ancien italique (étrusque, osque, etc.)	Old_Italic	3.1	5/29/2004	y								NotoSansOldItalic		
Jamo	284	Jamo (alias for Jamo subset of Hangul)	jamo (alias pour le sous-ensemble jamo du hangûl)		1.1	1/19/2016									Noto Sans CJK KR	Noto Serif CJK KR	
Java	361	Javanese	javanais	Javanese	5.2	6/1/2009	y								NotoSansJavanese		
Jpan	413	Japanese (alias for Han + Hiragana + Katakana)	japonais (alias pour han + hiragana + katakana)		1.1	6/21/2006	y								Noto Sans CJK JP	Noto Serif CJK JP	
Jurc	510	Jurchen	jurchen			12/21/2010	y										
Kali	357	Kayah Li	kayah li	Kayah_Li	5.1	7/2/2007	y				Kyebogyi			Kayahli	NotoSansKayah Li		
Kana	411	Katakana	katakana	Katakana	1.1	5/1/2004	y								Noto Sans CJK JP	Noto Serif CJK JP	
Khar	305	Kharoshthi	kharochthî	Kharoshthi	4.1	6/21/2006	y								NotoSansKharoshthi		
Khmr	355	Khmer	khmer	Khmer	3	5/29/2004	y				Khmer Mondulkiri				NotoSansKhmer	NotoSerifKhmer	
Khoj	322	Khojki	khojkî	Khojki	7	11/15/2014	y								NotoSansKhojki		
Kitl	505	Khitan large script	grande écriture khitan			7/15/2015	y										
Kits	288	Khitan small script	petite écriture khitan			7/15/2015	y										
Knda	345	Kannada	kannara (canara)	Kannada	1.1	5/29/2004	y					KNDA Badami			NotoSansKannada	NotoSerifKannada	
Kore	287	Korean (alias for Hangul + Han)	coréen (alias pour hangûl + han)		1.1	6/13/2007	y								Noto Sans CJK KR	Noto Serif CJK KR	
Kpel	436	Kpelle	kpèllé			3/26/2010	y										
Kthi	317	Kaithi	kaithî	Kaithi	5.2	6/1/2009	y								NotoSansKaithi		
Lana	351	Tai Tham (Lanna)	taï tham (lanna)	Tai_Tham	5.2	6/1/2009	y								NotoSansTaiTham		
Laoo	356	Lao	laotien	Lao	1.1	5/1/2004	y						DokChampa	Saysettha MX	NotoSansLao	NotoSerifLao	
Latf	217	Latin (Fraktur variant)	latin (variante brisée)		1.1	5/1/2004	y										
Latg	216	Latin (Gaelic variant)	latin (variante gaélique)		1.1	5/1/2004	y										
Latn	215	Latin	latin	Latin	1.1	5/1/2004	y				Charis SIL				NotoSansLatin	NotoSerifLatin	
Leke	364	Leke	léké			7/7/2015	y								NotoSansLeke		
Lepc	335	Lepcha (Róng)	lepcha (róng)	Lepcha	5.1	7/2/2007	y				Mingzat				NotoSansLepcha		
Limb	336	Limbu	limbou	Limbu	4	5/29/2004	y				Namdhinggo SIL				NotoSansLimbu		
Lina	400	Linear A	linéaire A	Linear_A	7	11/15/2014	y								NotoSansLinearA		
Linb	401	Linear B	linéaire B	Linear_B	4	5/29/2004	y								NotoSansLinearB		
Lisu	399	Lisu (Fraser)	lisu (Fraser)	Lisu	5.2	6/1/2009	y							LisuTzimu	NotoSansLisu		
Loma	437	Loma	loma			3/26/2010	y										
Lyci	202	Lycian	lycien	Lycian	5.1	7/2/2007	y								NotoSansLycian		
Lydi	116	Lydian	lydien	Lydian	5.1	7/2/2007	y								NotoSansLydian		
Mahj	314	Mahajani	mahâjanî	Mahajani	7	11/15/2014									NotoSansMahajani		
Maka	366	Makasar	makassar	Makasar	11	12/5/2016											
Mand	140	Mandaic, Mandaean	mandéen	Mandaic	6	7/23/2010	y								NotoSansMandaic		
Mani	139	Manichaean	manichéen	Manichaean	7	11/15/2014	y								NotoSansManichaean		
Marc	332	Marchen	marchen	Marchen	9	12/5/2016	y								NotoSansMarchen		
Maya	90	Mayan hieroglyphs	hiéroglyphes mayas			5/1/2004											
Medf	265	Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)	médéfaïdrine	Medefaidrin	11	12/5/2016											
Mend	438	Mende Kikakui	mendé kikakui	Mende_Kikakui	7	11/15/2014	y								NotoSansMendeKikakui		
Merc	101	Meroitic Cursive	cursif méroïtique	Meroitic_Cursive	6.1	2/6/2012	y								NotoSansMeroitic Cursive		
Mero	100	Meroitic Hieroglyphs	hiéroglyphes méroïtiques	Meroitic_Hieroglyphs	6.1	2/6/2012									NotoSansMeroitic		
Mlym	347	Malayalam	malayâlam	Malayalam	1.1	5/1/2004	y								NotoSansMalayalam	NotoSerifMalayalam	
Modi	324	Modi, Moḍī	modî	Modi	7	11/15/2014	y								NotoSansModi		
